city_name,city_name_normalized,station_count,primary_station,primary_uic_code,centroid_latitude,centroid_longitude,all_stations
Juan les Pins,juan les pins,1,Juan les Pins,87757666,43.570896,7.11144,Juan les Pins
Juvisy,juvisy,1,Juvisy-sur-Orge,87545244,48.68917,2.38267,Juvisy-sur-Orge
Juziers,juziers,1,Juziers,87381558,48.99244,1.84579,Juziers
Jœuf,jœuf,1,Jœuf,87191700,49.2250083,6.0177021,Jœuf
Kalhausen,kalhausen,1,Kalhausen,87193664,49.0350585,7.125352,Kalhausen
Ker Lann,ker lann,1,Ker Lann,87159947,48.0429857,-1.7398306,Ker Lann
Kerhostin,kerhostin,1,Kerhostin,87476432,47.5369524,-3.1363795,Kerhostin
Kerhuon,kerhuon,1,Kerhuon,87474213,48.4096627,-4.3882136,Kerhuon
Kilstett,kilstett,1,Kilstett,87212324,48.6793065,7.8549031,Kilstett
Koenigsmacker,koenigsmacker,1,Koenigsmacker,87191619,49.3965538,6.2735503,Koenigsmacker
Kogenheim,kogenheim,1,Kogenheim,87214114,48.3389532,7.5353085,Kogenheim
Krimmeri Meinau,krimmeri meinau,1,Krimmeri Meinau,87338525,48.56358,7.75259,Krimmeri Meinau
Kruth,kruth,1,Kruth,87182642,47.92396,6.9690938,Kruth
Kurtzenhouse,kurtzenhouse,1,Kurtzenhouse,87213660,48.741862,7.8130449,Kurtzenhouse
L'Abbaye,l'abbaye,1,L'Abbaye,87113886,48.922211,2.516874,L'Abbaye
L'Aigle,l'aigle,1,L'Aigle,87444638,48.766229,0.620014,L'Aigle
L'Aiguille,l'aiguille,1,L'Aiguille,87592634,45.7783702,1.2049024,L'Aiguille
L'Arbresle,l'arbresle,1,L'Arbresle,87721431,45.833299,4.618319,L'Arbresle
L'Argentière Les Écrins,l'argentiere les ecrins,1,L'Argentière Les Écrins,87763557,44.7909802,6.5564162,L'Argentière Les Écrins
L'Ariane La Trinité,l'ariane la trinite,1,L'Ariane La Trinité,87751529,43.7343716,7.3025298,L'Ariane La Trinité
L'Estaque,l'estaque,1,L'Estaque,87751602,43.363628,5.3213598,L'Estaque
L'Etang les Sablons,l'etang les sablons,1,L'Etang les Sablons,87726109,48.87230206521716,2.068874406268012,L'Etang les Sablons
L'Herbergement,l'herbergement,1,L'Herbergement - Les Brouzils,87486126,46.9069172,-1.3712431,L'Herbergement - Les Brouzils
L'Hermitage,l'hermitage,1,L'Hermitage - Mordelles,87471060,48.123142,-1.8192987,L'Hermitage - Mordelles
L'Hôpital,l'hopital,1,L'Hôpital-du-Grosbois,87718528,47.1691016,6.2130861,L'Hôpital-du-Grosbois
L'Isle-Adam,l'isle-adam,1,L'Isle-Adam - Parmain,87276527,49.11482,2.20976,L'Isle-Adam - Parmain
L'Isle-sur-la-Sorgue,l'isle-sur-la-sorgue,1,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,87765479,43.917393,5.047615,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse
L'Isthme,l'isthme,1,L'Isthme,87476275,47.54653639699773,-3.1335359717958777,L'Isthme
L'Étang,l'etang,1,L'Étang-la-Ville,87382473,48.86822,2.0766932,L'Étang-la-Ville
La Barasse,la barasse,1,La Barasse,87635581,43.2858384,5.4845101,La Barasse
La Barre Ormesson,la barre ormesson,1,La Barre Ormesson,87271171,48.96633,2.31688,La Barre Ormesson
La Basse Indre,la basse indre,1,La Basse Indre - Saint-Herblain,87481069,47.2040872,-1.6603088,La Basse Indre - Saint-Herblain
La Bassée,la bassee,1,La Bassée - Violaines,87342436,50.52799,2.80482,La Bassée - Violaines
