uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87734715,Saint-Vincent le Château,saint-vincent le chateau,Saint-Vincent le Château,saint-vincent le chateau,45.148827,3.918576,
87734723,Vorey,vorey,Vorey,vorey,45.182925,3.91138,
87734731,Chamalières-sur-Loire,chamalieres-sur-loire,Chamalières-sur-Loire,chamalieres-sur-loire,45.20591,3.991894,
87734749,Retournac,retournac,Retournac,retournac,45.201342,4.036062,
87734871,Massiac - Blesle,massiac - blesle,Massiac - Blesle,massiac - blesle,45.253745,3.196574,
87735522,Bouzonville Institut Providenc,bouzonville institut providenc,Bouzonville,bouzonville,49.292247,6.531394,
87737411,Les Aubrais Gare Routière,les aubrais gare routiere,Les,les,47.926667,1.907464,
87737429,Paris-Austerlitz Routiere,paris-austerlitz routiere,Paris-Austerlitz Routiere,paris-austerlitz routiere,48.841536,2.367945,
87737585,Sarreguemines Collège Fulrad,sarreguemines college fulrad,Sarreguemines,sarreguemines,49.11873,7.075506,
87737593,Sarreguemines Lycée Technique,sarreguemines lycee technique,Sarreguemines,sarreguemines,49.1163,7.079192,
87737668,Sarreguemines Barth,sarreguemines barth,Sarreguemines,sarreguemines,49.101996,7.050557,
87737676,Sarreguemines Collège Himmelsberg,sarreguemines college himmelsberg,Sarreguemines,sarreguemines,49.109055,7.052791,
87737684,Sarreguemines Collège Jean Jaurès,sarreguemines college jean jaures,Sarreguemines,sarreguemines,49.103116,7.048974,
87737692,Sarreguemines Lycée Pange,sarreguemines lycee pange,Sarreguemines,sarreguemines,49.108478,7.064027,
87737700,Sarreguemines Utzschneider,sarreguemines utzschneider,Sarreguemines,sarreguemines,49.111667,7.067294,
87737718,Hundling Stade,hundling stade,Hundling,hundling,49.107769,6.981527,
87737734,Farschviller Croisement Gare,farschviller croisement gare,Farschviller,farschviller,49.088581,6.901817,
87738096,Le Bouscat Sainte-Germaine,le bouscat sainte-germaine,Le Bouscat Sainte-Germaine,le bouscat sainte-germaine,44.870927,-0.614049,
87739961,Saint-Symphorien-des-Bois,saint-symphorien-des-bois,Saint-Symphorien-des-Bois,saint-symphorien-des-bois,46.332815,4.281244,
87741009,Chambéry - Challes-les-Eaux,chambery - challes-les-eaux,Chambéry - Challes-les-Eaux,chambery - challes-les-eaux,45.571302,5.919547,
87741074,Culoz,culoz,Culoz,culoz,45.843278,5.778728,
87741108,Vions - Chanaz,vions - chanaz,Vions - Chanaz,vions - chanaz,45.824552,5.80689,
87741116,Chindrieux,chindrieux,Chindrieux,chindrieux,45.803471,5.84691,
87741132,Aix-les-Bains le Revard,aix-les-bains le revard,Aix-les-Bains le Revard,aix-les-bains le revard,45.688161,5.909371,
87741140,Viviers-du-Lac,viviers-du-lac,Viviers-du-Lac,viviers-du-lac,45.648537,5.903325,
87741181,Montmélian,montmelian,Montmélian,montmelian,45.503082,6.043175,
87741223,Saint-Pierre-d'Albigny,saint-pierre-dalbigny,Saint-Pierre-d'Albigny,saint-pierre-dalbigny,45.557399,6.156289,
87741231,Chamousset,chamousset,Chamousset,chamousset,45.557574,6.206743,
87741249,Aiton-Salle-Polyvalente,aiton-salle-polyvalente,Aiton-Salle-Polyvalente,aiton-salle-polyvalente,45.560231,6.254831,
