origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87571216,87571240,Vendôme - Villiers-sur-Loir TGV,Saint-Pierre-des-Corps,123,23,GTFS_TGV
87391003,87393702,Paris Montparnasse,Massy TGV,122,9,GTFS_TGV
87396002,87471003,Le Mans,Rennes,122,46,GTFS_TGV
87677005,87677120,Hendaye,Saint-Jean-de-Luz - Ciboure,121,10,GTFS_TGV
87673004,87673202,Bayonne,Dax,121,32,GTFS_TGV
87673400,87673004,Biarritz,Bayonne,121,12,GTFS_TGV
87575001,87583005,Poitiers,Angoulême,121,40,GTFS_TGV
87677120,87673400,Saint-Jean-de-Luz - Ciboure,Biarritz,121,10,GTFS_TGV
87318964,87723197,Avignon TGV,Lyon Part Dieu,118,67,GTFS_TGV
87171926,87271494,Champagne-Ardenne TGV,Aéroport Charles de Gaulle 2 TGV,118,31,GTFS_TGV
87741645,87741009,Albertville,Chambéry - Challes-les-Eaux,114,38,GTFS_TGV
87147322,87142109,Meuse TGV,Lorraine TGV,112,18,GTFS_TGV
87741009,87741645,Chambéry - Challes-les-Eaux,Albertville,110,36,GTFS_TGV
87686006,87763029,Paris Gare de Lyon,Valence TGV Rhône-Alpes Sud,110,133,GTFS_TGV
87393702,87723197,Massy TGV,Lyon Part Dieu,109,123,GTFS_TGV
87471003,87396002,Rennes,Le Mans,108,48,GTFS_TGV
87313882,87223263,Haute Picardie TGV,Lille Europe,106,31,GTFS_TGV
87474338,87474007,Morlaix,Brest,103,33,GTFS_TGV
87686006,87723197,Paris Gare de Lyon,Lyon Part Dieu,102,118,GTFS_TGV
87474007,87474338,Brest,Morlaix,101,30,GTFS_TGV
87471003,87473009,Rennes,Saint-Brieuc,101,46,GTFS_TGV
87147322,87171926,Meuse TGV,Champagne-Ardenne TGV,101,24,GTFS_TGV
87474098,87476002,Quimper,Lorient Bretagne Sud,100,33,GTFS_TGV
87686006,87741009,Paris Gare de Lyon,Chambéry - Challes-les-Eaux,100,188,GTFS_TGV
87763029,87723197,Valence TGV Rhône-Alpes Sud,Lyon Part Dieu,98,40,GTFS_TGV
87723197,87393702,Lyon Part Dieu,Massy TGV,97,123,GTFS_TGV
87571240,87571000,Saint-Pierre-des-Corps,Tours,97,5,GTFS_TGV
87773002,87775007,Montpellier Saint-Roch,Nîmes,96,25,GTFS_TGV
87723197,87318964,Lyon Part Dieu,Avignon TGV,96,65,GTFS_TGV
87476606,87476200,Vannes,Auray,95,10,GTFS_TGV
87171272,87171926,Reims Maison Blanche,Champagne-Ardenne TGV,95,6,GTFS_TGV
87417444,87171272,Franchet d'Esperey,Reims Maison Blanche,95,2,GTFS_TGV
87741009,87686006,Chambéry - Challes-les-Eaux,Paris Gare de Lyon,95,189,GTFS_TGV
87171009,87417444,Reims,Franchet d'Esperey,95,2,GTFS_TGV
87476200,87476002,Auray,Lorient Bretagne Sud,95,16,GTFS_TGV
87775007,87763029,Nîmes,Valence TGV Rhône-Alpes Sud,94,44,GTFS_TGV
87741009,87725705,Chambéry - Challes-les-Eaux,Mâcon Loché TGV,94,76,GTFS_TGV
87345009,87342014,Douai,Arras,92,17,GTFS_TGV
87286005,87345009,Lille Flandres,Douai,92,20,GTFS_TGV
87473009,87471003,Saint-Brieuc,Rennes,92,48,GTFS_TGV
87725705,87686006,Mâcon Loché TGV,Paris Gare de Lyon,91,94,GTFS_TGV
87485227,87485003,Surgères,La Rochelle,90,21,GTFS_TGV
87473207,87474338,Guingamp,Morlaix,90,27,GTFS_TGV
87485300,87485227,Niort,Surgères,90,18,GTFS_TGV
87393702,87581009,Massy TGV,Bordeaux Saint-Jean,90,130,GTFS_TGV
87686006,87318964,Paris Gare de Lyon,Avignon TGV,89,162,GTFS_TGV
87571000,87571240,Tours,Saint-Pierre-des-Corps,88,5,GTFS_TGV
87142109,87147322,Lorraine TGV,Meuse TGV,88,18,GTFS_TGV
87586008,87581009,Agen,Bordeaux Saint-Jean,88,75,GTFS_TGV
87476200,87476606,Auray,Vannes,87,10,GTFS_TGV
87476002,87476200,Lorient Bretagne Sud,Auray,87,15,GTFS_TGV
87671339,87671008,Lourdes,Tarbes,87,15,GTFS_TGV
87672006,87671339,Pau,Lourdes,87,26,GTFS_TGV
87271494,87171926,Aéroport Charles de Gaulle 2 TGV,Champagne-Ardenne TGV,85,32,GTFS_TGV
87671339,87672006,Lourdes,Pau,85,26,GTFS_TGV
87671008,87671339,Tarbes,Lourdes,85,14,GTFS_TGV
87688887,87703975,Montpellier Sud de France,Nîmes Pont du Gard,85,19,GTFS_TGV
87484006,87391003,Angers Saint-Laud,Paris Montparnasse,85,87,GTFS_TGV
87485003,87485227,La Rochelle,Surgères,84,18,GTFS_TGV
87571216,87391003,Vendôme - Villiers-sur-Loir TGV,Paris Montparnasse,84,46,GTFS_TGV
87581009,87586008,Bordeaux Saint-Jean,Agen,84,73,GTFS_TGV
87485227,87485300,Surgères,Niort,84,18,GTFS_TGV
