station_name_normalized,station_name,uic_code
chazay - marcilly,Chazay - Marcilly,87721415
chedde,Chedde,87746701
cheilly-les-maranges,Cheilly-lès-Maranges,87694398
chelles - gournay,Chelles - Gournay,87116111
chemille-en-anjou,Chemillé-en-Anjou,87484246
chemilly - appoigny,Chemilly - Appoigny,87683532
chemin d'antony,Chemin d'Antony,87546317
chenevieres,Chenevières,87141382
chenonceaux,Chenonceaux,87574491
cherbourg-en-cotentin,Cherbourg-en-Cotentin,87444877
chessy,Chessy,87721761
chevaigne,Chevaigné,87471458
chevillon,Chevillon,87175117
chevilly,Chevilly,87543041
chevrieres,Chevrières,87276311
chezy-sur-marne,Chézy-sur-Marne,87116574
chilly-mazarin,Chilly-Mazarin,87393637
chindrieux,Chindrieux,87741116
chinon,Chinon,87571687
chirac,Chirac,87783290
chissay-en-touraine,Chissay-en-Touraine,87574848
chocques,Chocques,87342220
choisy-le-roi,Choisy-le-Roi,87545285
cholet,Cholet,87484303
chorges,Chorges,87763425
chouzy-sur-cisse,Chouzy-sur-Cisse,87574301
cinq-mars-la-pile,Cinq-Mars-la-Pile,87571836
cintegabelle,Cintegabelle,87611376
cires-les-mello,Cires-lès-Mello,87313551
ciry-le-noble,Ciry-le-Noble,87694646
civrieux-d'azergues,Civrieux-d'Azergues,87721746
cize - bolozon,Cize - Bolozon,87743344
clacy - mons,Clacy - Mons,87296178
clamart,Clamart,87391565
clamecy,Clamecy,87696807
clelles - mens,Clelles - Mens,87747626
cleres,Clères,87411819
clermont de l'oise,Clermont de l'Oise,87313304
clermont la pardieu,Clermont La Pardieu,87782607
clermont la rotonde,Clermont La Rotonde,87396895
clermont-ferrand,Clermont-Ferrand,87734004
clerval,Clerval,87184622
clichy - levallois,Clichy - Levallois,87381129
clisson,Clisson,87481440
cloyes-sur-le-loir,Cloyes-sur-le-Loir,87574509
cluses,Cluses,87746370
coarraze - nay,Coarraze - Nay,87672139
coat guegan,Coat Guégan,87473579
cognac,Cognac,87491449
coignieres,Coignières,87393272
collioure,Collioure,87784256
collonges - fontaines,Collonges - Fontaines,87721225
collonges-les-premieres,Collonges-lès-Premières,87713321
colmar,Colmar,87182014
colmar mesanges,Colmar Mésanges,87402297
colmar saint-joseph,Colmar Saint-Joseph,87181222
colombes,Colombes,87381087
colombier-fontaine,Colombier-Fontaine,87184556
colomiers,Colomiers,87611467
colomiers lycee international,Colomiers Lycée International,87611921
combourg,Combourg,87478057
combs-la-ville - quincy,Combs-la-Ville - Quincy,87682146
commentry,Commentry,87641415
commercy,Commercy,87175257
compans,Compans,87272047
compiegne,Compiègne,87276691
conches-en-ouche,Conches-en-Ouche,87387159
condat - le lardin,Condat - Le Lardin,87594382
conde-sur-huisne,Condé-sur-Huisne,87394288
conflans - jarny,Conflans - Jarny,87192666
conflans fin d'oise,Conflans Fin d'Oise,87381459
conflans-sainte-honorine,Conflans-Sainte-Honorine,87381897
conlie,Conlie,87396218
connerre - beille,Connerré - Beillé,87396309
contrexeville,Contrexéville,87144287
corbehem,Corbehem,87345116
corbeil-essonnes,Corbeil-Essonnes,87681007
corbie,Corbie,87313056
corbigny,Corbigny,87696617
corcy,Corcy,87272286
cordemais,Cordemais,87481820
cordes - vindrac,Cordes - Vindrac,87613802
corgoloin,Corgoloin,87713537
cormeilles-en-parisis,Cormeilles-en-Parisis,87381863
cormery,Cormery,87571430
cornil,Cornil,87594481
coron de mericourt,Coron de Méricourt,87345132
corps-nuds,Corps-Nuds,87471326
correze,Corrèze,87594119
corseul - languenan,Corseul - Languenan,87478180
cosne-cours-sur-loire,Cosne-Cours-sur-Loire,87696146
coucy-les-eppes,Coucy-lès-Eppes,87171769
coudekerque-branche,Coudekerque-Branche,87281402
coueron,Couëron,87481804
couffoulens - leuc,Couffoulens - Leuc,87615120
couilly - saint-germain - quincy,Couilly - Saint-Germain - Quincy,87116731
coulanges-sur-yonne,Coulanges-sur-Yonne,87696831
coulommiers,Coulommiers,87116301
courbevoie,Courbevoie,87382200
courcay - tauxigny,Courcay - Tauxigny,87571448
courcelles-le-comte,Courcelles-le-Comte,87342063
courcelles-sur-nied,Courcelles-sur-Nied,87192211
courcy - brimont,Courcy - Brimont,87171710
coursan,Coursan,87781161
courtalain - saint-pellerin,Courtalain - Saint-Pellerin,87394494
courthezon,Courthézon,87765180
courville-sur-eure,Courville-sur-Eure,87394221
cousance,Cousance,87718270
coutances,Coutances,87447110
coutras,Coutras,87584516
couzon-au-mont-d'or,Couzon-au-Mont-d'Or,87721241
cramoisy,Cramoisy,87313544
cransac,Cransac,87613232
cravant - bazarnes,Cravant - Bazarnes,87683649
creches-sur-saone,Crêches-sur-Saône,87725713
crecy-la-chapelle,Crécy-la-Chapelle,87116772
creil,Creil,87276006
crepieux la pape,Crépieux la Pape,87723502
crepy - couvron,Crépy - Couvron,87296152
crepy-en-valois,Crépy-en-Valois,87271593
crest,Crest,87761783
creteil pompadour,Créteil Pompadour,87608802
croix - wasquehal,Croix - Wasquehal,87286716
croix du prince,Croix du Prince,87672600
croix l'allumette,Croix L'Allumette,87281055
croix sainte,Croix Sainte,87753491
cros de cagnes,Cros de Cagnes,87756338
crouy,Crouy,87271874
crouy-sur-ourcq,Crouy-sur-Ourcq,87116640
cubzac-les-ponts,Cubzac-les-Ponts,87491266
cuers - pierrefeu,Cuers - Pierrefeu,87755355
cugand,Cugand,87481457
cuinchy,Cuinchy,87342410
culmont - chalindrey,Culmont - Chalindrey,87142125
culoz,Culoz,87741074
dachstein,Dachstein,87214551
dambach-la-ville,Dambach-la-Ville,87214213
damiatte - saint-paul,Damiatte - Saint-Paul,87615484
dammartin - juilly - saint-mard,Dammartin - Juilly - Saint-Mard,87271536
dange-saint-romain,Dangé-Saint-Romain,87575126
danjoutin,Danjoutin,87700146
dannemarie,Dannemarie,87182253
dannemarie - velesmes,Dannemarie - Velesmes,87718312
dannes - camiers,Dannes - Camiers,87317081
daours,Daours,87315044
dardilly le jubin,Dardilly Le Jubin,87721449
dardilly les mouilles,Dardilly Les Mouilles,87721480
darsac,Darsac,87734673
dax,Dax,87673202
decize,Decize,87696484
degagnac,Dégagnac,87613174
delle,Delle,87184440
deluz,Deluz,87718429
denain,Denain,87343459
dettwiller,Dettwiller,87212183
deuil - montmagny,Deuil - Montmagny,87276345
deville,Deville,87172064
die,Die,87761841
diemeringen,Diemeringen,87215665
