origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
85161554,85171421,,3,TRAIN,GTFS,Lancy-Pont-Rouge,Lancy-Bachet,194,gtfs_stop_times
85162743,87745497,,5,TRAIN,GTFS,Chêne-Bourg,Annemasse,194,gtfs_stop_times
85171421,85162727,,3,TRAIN,GTFS,Lancy-Bachet,Genève-Champel,194,gtfs_stop_times
85162727,85162735,,4,TRAIN,GTFS,Genève-Champel,Genève-Eaux-Vives,194,gtfs_stop_times
85162735,85162727,,4,TRAIN,GTFS,Genève-Eaux-Vives,Genève-Champel,194,gtfs_stop_times
85162735,85162743,,3,TRAIN,GTFS,Genève-Eaux-Vives,Chêne-Bourg,194,gtfs_stop_times
85171421,85161554,,3,TRAIN,GTFS,Lancy-Bachet,Lancy-Pont-Rouge,194,gtfs_stop_times
85162727,85171421,,3,TRAIN,GTFS,Genève-Champel,Lancy-Bachet,194,gtfs_stop_times
87394155,87394148,,5,TRAIN,GTFS,Jouy,Saint-Piat,193,gtfs_stop_times
87342014,87271007,,56,TRAIN,GTFS,Arras,Paris Gare du Nord,193,gtfs_stop_times
87394130,87394148,,5,TRAIN,GTFS,Maintenon,Saint-Piat,193,gtfs_stop_times
87394007,87394171,,6,TRAIN,GTFS,Chartres,La Villette Saint-Prest,193,gtfs_stop_times
87394171,87394155,,5,TRAIN,GTFS,La Villette Saint-Prest,Jouy,193,gtfs_stop_times
87394148,87394130,,5,TRAIN,GTFS,Saint-Piat,Maintenon,193,gtfs_stop_times
87271007,87342014,,56,TRAIN,GTFS,Paris Gare du Nord,Arras,193,gtfs_stop_times
87394155,87394171,,5,TRAIN,GTFS,Jouy,La Villette Saint-Prest,193,gtfs_stop_times
87394171,87394007,,6,TRAIN,GTFS,La Villette Saint-Prest,Chartres,193,gtfs_stop_times
87394148,87394155,,5,TRAIN,GTFS,Saint-Piat,Jouy,193,gtfs_stop_times
87313882,87271494,,37,TGV,GTFS,TGV Haute Picardie,Aéroport Charles de Gaulle 2 TGV,191,gtfs_stop_times
87271494,87313882,,37,TGV,GTFS,Aéroport Charles de Gaulle 2 TGV,TGV Haute Picardie,191,gtfs_stop_times
87751081,87751008,,6,TRAIN,GTFS,Marseille Blancarde,Marseille Saint-Charles,190,gtfs_stop_times
87751008,87751081,,6,TRAIN,GTFS,Marseille Saint-Charles,Marseille Blancarde,190,gtfs_stop_times
87696005,87696328,,29,TRAIN,GTFS,Nevers,Moulins sur Allier,189,gtfs_stop_times
87192039,87191114,,14,TRAIN,GTFS,Metz,Hagondange,189,gtfs_stop_times
87696328,87696005,,29,TRAIN,GTFS,Moulins sur Allier,Nevers,189,gtfs_stop_times
85010082,85161554,,6,TRAIN,GTFS,Genève Cornavin,Lancy-Pont-Rouge,189,gtfs_stop_times
85161554,85010082,,6,TRAIN,GTFS,Lancy-Pont-Rouge,Genève Cornavin,189,gtfs_stop_times
87191114,87192039,,14,TRAIN,GTFS,Hagondange,Metz,189,gtfs_stop_times
87571000,87571240,,5,TRAIN,GTFS,Tours,Saint-Pierre-des-Corps,188,gtfs_stop_times
87571240,87571000,,5,TRAIN,GTFS,Saint-Pierre-des-Corps,Tours,188,gtfs_stop_times
87584052,87584722,,12,TRAIN,GTFS,Libourne,Saint-Sulpice - Izon,187,gtfs_stop_times
