origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status
87743005,87131961,34.82,20,884000,EXPLOITE
87743534,87131961,12.93,7,878000,EXPLOITE
87743872,87444208,139.56,83,430000,EXPLOITE
87746305,87746479,46.78,28,895000,EXPLOITE
87747402,87741181,43.16,25,909000,EXPLOITE
87748350,87738096,10.17,6,586000,EXPLOITE
87751362,87759290,66.17,39,905000,EXPLOITE
87751602,87751008,9.78,5,939001,EXPLOITE
87753004,87751602,60.75,36,935000,EXPLOITE
87753459,87753491,2.36,1,935111,NEUT
87753707,87751362,40.11,24,923000,EXPLOITE
87755314,87755629,9.96,5,942000,EXPLOITE
87757617,87757724,16.56,9,944000,EXPLOITE
87759290,87751081,1.3,0,936300,EXPLOITE
87761007,87747329,78.76,47,908000,EXPLOITE
87761247,87763250,108.91,65,912000,EXPLOITE
87765008,87753004,67.9,40,925000,EXPLOITE
87765206,87765735,16.5,9,927000,EXPLOITE
87765354,87773200,105.9,63,810000,EXPLOITE
87775072,87775866,40.83,24,819000,EXPLOITE
87781005,87645507,277.01,166,722000,EXPLOITE
87781104,87785006,105.83,63,677000,EXPLOITE
87783308,87775171,77.4,46,723000,EXPLOITE
87783365,87613422,41.36,24,725000,FERME MV
87784009,87784686,46.36,27,679000,EXPLOITE
87784686,87611483,62.45,37,669000,EXPLOITE
